id	name	name_en	color1	color2	color3	color4	color5	color6	color7	color8
1	レインボー	Rainbow	255,255,0,0	255,255,128,0	255,255,255,0	255,0,255,0	255,0,0,255	255,74,0,130	255,140,0,255	255,255,0,255
2	パステルレインボー	RainbowPastel	255,255,178,178	255,255,217,178	255,255,255,178	255,178,255,178	255,178,178,255	255,217,178,255	255,255,178,255	255,255,204,255
3	森	Forest	255,102,229,128	255,153,242,204	255,51,178,229	255,178,255,178	255,102,204,255	255,76,204,102	255,153,204,255	255,204,255,229
4	サイバー	Cyber	255,0,204,255	255,128,0,255	255,0,255,128	255,51,153,255	255,255,0,204	255,0,102,153	255,204,255,0	255,178,178,178
5	警告	Hazard	255,255,51,0	255,255,128,0	255,0,0,0	255,204,0,0	255,153,76,0	255,51,51,51	255,255,178,0	255,128,0,0
6	桜	Sakura	255,255,178,204	255,229,229,242	255,178,255,178	255,255,217,229	255,153,204,102	255,255,153,191	255,242,242,255	255,153,204,229
7	砂漠	Desert	255,204,153,51	255,178,102,0	255,102,51,25	255,229,178,76	255,51,25,12	255,153,76,0	255,128,102,76	255,25,12,0
8	星屑	StarDust	255,12,0,51	255,76,0,128	255,229,229,255	255,25,25,102	255,153,128,204	255,51,0,89	255,178,178,178	255,0,0,25
9	若葉	Wakaba	255,204,255,51	255,153,229,102	255,255,229,0	255,102,204,76	255,229,255,128	255,178,242,153	255,255,255,153	255,76,178,51
10	危険地帯	DangerZone	255,0,0,0	255,255,204,0	255,255,102,0	255,51,51,51	255,229,178,0	255,204,76,0	255,25,25,25	255,255,153,0
11	妖艶	Yoen	255,102,0,128	255,153,0,204	255,51,0,76	255,204,25,76	255,76,25,102	255,229,0,153	255,25,0,38	255,178,51,229
12	爽快	Sokai	255,0,178,255	255,76,255,178	255,204,242,255	255,0,128,204	255,128,255,204	255,25,229,255	255,229,255,242	255,0,153,229
13	夢幻の風	DreamyWind	255,153,229,255	255,255,191,229	255,204,255,255	255,255,204,242	255,102,204,255	255,255,166,204	255,229,242,255	255,255,204,217
14	夕焼け	Sunset	255,255,102,0	255,255,153,51	255,255,204,102	255,255,69,0	255,255,140,0	255,204,85,0	255,178,34,34	255,255,165,0
15	海	Ocean	255,0,119,190	255,0,191,255	255,135,206,235	255,0,150,255	255,30,144,255	255,100,149,237	255,173,216,230	255,0,206,209
16	秋	Autumn	255,34,139,34	255,107,142,35	255,154,205,50	255,255,215,0	255,255,165,0	255,255,69,0	255,220,20,60	255,178,34,34
17	雪	Snow	255,255,255,255	255,240,248,255	255,230,230,250	255,248,248,255	255,220,220,220	255,245,245,245	255,211,211,211	255,192,192,192
18	深海	DeepSea	255,0,0,139	255,25,25,112	255,0,0,205	255,72,61,139	255,106,90,205	255,123,104,238	255,147,112,219	255,138,43,226
19	朝露	MorningDew	255,255,255,0	255,255,165,0	255,255,20,147	255,0,191,255	255,30,144,255	255,50,205,50	255,138,43,226	255,255,69,0
20	夜空	NightSky	255,25,25,112	255,0,0,139	255,72,61,139	255,106,90,205	255,123,104,238	255,147,112,219	255,138,43,226	255,148,0,211
21	炎	Flame	255,186,85,211	255,221,160,221	255,238,130,238	255,218,112,214	255,255,182,193	255,255,192,203	255,230,230,250	255,216,191,216
22	大地	Earth	255,34,139,34	255,50,205,50	255,144,238,144	255,255,182,193	255,255,20,147	255,219,112,147	255,186,85,211	255,138,43,226
23	宝石	Jewel	255,255,0,255	255,0,255,255	255,255,215,0	255,50,205,50	255,255,20,147	255,30,144,255	255,138,43,226	255,255,105,180
24	パステル2	Pastel2	255,255,182,193	255,255,218,185	255,255,228,196	255,255,240,245	255,230,230,250	255,221,160,221	255,255,228,225	255,255,218,185
25	夜の街	CityNight	255,101,67,33	255,139,69,19	255,160,82,45	255,205,133,63	255,222,184,135	255,238,203,173	255,245,222,179	255,255,228,196
26	月光	Moonlight	255,248,248,255	255,230,230,250	255,176,196,222	255,119,136,153	255,112,128,144	255,135,206,235	255,173,216,230	255,240,248,255
27	眩光	DazzlingLight	255,255,255,255	255,255,255,224	255,255,250,205	255,255,255,0	255,255,215,0	255,255,228,181	255,255,248,220	255,255,255,240
28	ネオンブラスト	NeonBlast	255,255,0,255	255,255,20,147	255,255,105,180	255,219,112,147	255,186,85,211	255,138,43,226	255,148,0,211	255,199,21,133
29	毒沼	ToxicSwamp	255,255,0,0	255,255,69,0	255,255,140,0	255,255,165,0	255,255,255,0	255,255,215,0	255,139,0,0	255,128,0,0
30	宇宙嵐	CosmicStorm	255,0,255,127	255,46,139,87	255,0,250,154	255,127,255,212	255,173,216,230	255,138,43,226	255,147,112,219	255,255,20,147
31	溶岩流	LavaFlow	255,255,0,0	255,255,69,0	255,255,20,147	255,139,0,0	255,255,140,0	255,220,20,60	255,178,34,34	255,128,0,0
32	金	Gold	255,255,215,0	255,255,223,0	255,255,255,0	255,255,218,185	255,238,203,173	255,205,133,63	255,184,134,11	255,139,69,19
33	モノクロ	Monochrome	255,255,255,255	255,240,240,240	255,211,211,211	255,169,169,169	255,128,128,128	255,105,105,105	255,64,64,64	255,0,0,0
34	テストカラー	test_color	255,255,0,0	255,255,128,0	255,255,255,0	255,0,255,0	255,0,0,255	255,74,0,130	255,140,0,255	255,255,0,255
